"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"Ftgt";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"P_B1plus_0.8Blim";"P_B1plus_0.8Blow";"firstyear_B1plus_0.8Blim";"firstyear_B1plus_0.8Blow";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"last";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.0644";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.0644";198113.661273954;212659.626294056;265844.971008203;331921.872725785;354908.4587518;269943.44521307;260101.147301796;24525.6267986598;1.0042979456928;0;0;NA;2039;0.9153;0.0459;0.999;0.194;0.926;0.06;9.153;8.16708333333333;NA;0.459;0.424;2039;0;0;0;0.0631396929935262;0.0877071170854452;0.120841474280018;15227.0681150107;21446.6318122319;30477.6003733885;21976.1216867151;3423.96901793754;2658.23655559387;1.01868636180036
"last";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.0645";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.0645";198891.240878881;213110.342136352;265690.680849373;330521.939994612;353614.206158625;269752.418990896;261292.121147632;24756.4229015985;1.00445917562415;0;0;NA;2039;0.9187;0.0447;0.999;0.194;0.93;0.058;9.187;8.23233333333333;NA;0.447;0.393;2039;0;0;0;0.0636235807781246;0.0880019489944876;0.12067401554136;15411.5553209099;21463.0396979057;30465.3834138174;22004.6788284509;3412.06798760818;2655.29871625794;1.01770970960338
"last";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.065";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.065";199865.243866631;213499.356254511;265810.902654043;331978.126721914;355468.222889147;270181.55865649;260447.66641747;24991.0632133551;1.00508985376684;0;0;NA;2039;0.9137;0.0411;0.999;0.186;0.926;0.061;9.137;8.09508333333333;NA;0.411;0.3585;2039;0;0;0;0.0635792912756191;0.0885701794265946;0.122057151432041;15507.6467312196;21664.0464249238;30543.8707613814;22200.2732890847;3474.34477371498;2687.8646356651;1.01906599049777
"last";"ASSss3_HCR4_REClow_INNvar_OERnaq_Ftgt0.08";"ASSss3";"HCR4";"REClow";"INNvar";"OERnaq";"Ftgt0.08";181934.974488023;196726.949964792;252576.151895089;318584.161341129;341014.326013558;255838.893230552;245012.545614155;24677.3947793689;1.00359705309099;0;0;NA;2039;0.9436;0.0985;1;0.353;0.951;0.134;9.436;8.68116666666667;NA;0.985;0.842583333333333;NA;0;0;0;0.0776987698538999;0.110947331861658;0.156803704548042;17719.7219679388;25422.046822213;36466.4500698074;26046.7778111768;4252.72449657152;3317.38912899547;1.01893797434712
"all";"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";164394.670567892;192563.649086998;267313.664894953;337065.75568957;359247.104533587;266676.274022005;279319.45440726;24285.5252745358;1.02599440257745;0.275;0.934;NA;2023;0.900866666666667;0.108666666666667;1;0.873;1;0.836;27.026;16.1213;NA;3.26;2.67026666666667;2028;0.000966666666666667;0.02;0.029;0.0488006234733964;0.062830936812546;0.0714270846235548;8442.04488201128;15664.0447794489;21317.7121313621;15482.7571391652;3465.71471454916;1604.45005202318;3425865.85499406
"all";"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.0643";"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.0643";164367.331064281;192471.702193245;267130.839563168;336881.762529302;359071.487835518;266507.969648377;279144.944030462;24283.320460496;1.0259757056614;0.275;0.934;NA;2023;0.9015;0.1089;1;0.873;1;0.836;27.045;16.1360833333333;NA;3.267;2.67076666666667;2028;0.000866666666666667;0.019;0.026;0.0490147235867963;0.0631239602961571;0.0717635663798306;8476.19763145817;15724.7538994029;21402.960692594;15542.8992846588;3479.57708962797;1611.80377797632;3577965.30135538
"all";"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.065";"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.065";164201.855029484;192208.663258681;266704.538296518;336489.513755126;358672.076814783;266105.169415518;278648.895390557;24277.0720332759;1.02593206658632;0.274;0.933;NA;2023;0.9035;0.1098;1;0.875;1;0.836;27.105;16.3147;NA;3.294;2.6871;2028;0.00103333333333333;0.019;0.031;0.0495906250194545;0.0638120168976711;0.0725729525379117;8573.37922272;15865.5219170074;21598.4895915536;15684.3664487777;3508.36966680516;1628.28794005823;3844365.8049049
"all";"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.07";"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.07";163021.42945087;190176.316025772;263731.923634458;333237.192776827;355325.348127368;263340.940556898;275498.583787659;24239.8614613982;1.0256230961252;0.263;0.931;NA;2023;0.9131;0.116166666666667;1;0.89;1;0.836;27.393;17.17455;NA;3.485;2.74155;2028;0.000933333333333333;0.018;0.028;0.0530763074145911;0.0686819307581644;0.0782544711642376;9114.40250537812;16857.3125720101;22987.9765365724;16665.6099312431;3740.49269766619;1752.0758134522;3493287.7626716
"all";"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.08";"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.08";160481.142940964;185837.227406393;257950.082086406;326770.159176696;348828.666410894;257905.581346862;269194.099971638;24156.7489127422;1.02501250632155;0.238;0.921;NA;2023;0.9287;0.128633333333333;1;0.91;1;0.836;27.861;18.4654666666667;NA;3.859;2.88158333333333;2031;0.0013;0.021;0.039;0.0602184067326784;0.0784189535327475;0.0897072947920824;10208.2350794029;18750.6267255543;25665.0265481576;18549.9331257585;4179.9668688131;1995.10978326302;4858906.05248179
"all";"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.09";"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.09";157799.083880412;181490.842035181;252384.903665286;320699.84159401;342512.207045659;252604.184407456;263287.664064041;24060.9789432259;1.02441162502903;0.218218218218218;0.907907907907908;NA;2023;0.941808475141808;0.144544544544545;1;0.917917917917918;1;0.835835835835836;28.2542542542543;19.7957123790457;NA;4.33633633633634;3.01841841841842;2034;0.00156823490156823;0.025025025025025;0.047047047047047;0.0672456567479294;0.0881214864382512;0.101221042804593;11235.4254560904;20543.1190070448;28224.2097864804;20323.7821776726;4603.99778174768;2237.30954097366;6468334.07786921
