"scenario";"year";"Ass";"Rule";"Rec";"INN";"OER";"Ftgt";"biomass_q95";"biomass_q50";"biomass_q05";"catch_q95";"catch_q50";"catch_q05";"catch.iyv_q95";"catch.iyv_q50";"catch.iyv_q05";"discards_q95";"discards_q50";"discards_q05";"disc.iyv_q95";"disc.iyv_q50";"disc.iyv_q05";"f_q95";"f_q50";"f_q05";"landings_q95";"landings_q50";"landings_q05";"land.iyv_q95";"land.iyv_q50";"land.iyv_q05";"rec_q95";"rec_q50";"rec_q05";"ssb_q95";"ssb_q50";"ssb_q05";"effort_q95";"effort_q50";"effort_q05";"tac_q95";"tac_q50";"tac_q05"
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2018;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";182148.090416061;151128.259050105;125951.942729156;14060;14060;14060;0.641687415548619;0.641687415548619;0.641687415548619;0;0;0;NA;NA;NA;0.116612500888681;0.0953688732870885;0.07809002626358;14060;14060;14060;0.641687415548619;0.641687415548619;0.641687415548619;9157813.22542149;4625110.82902167;2362989.5944411;181750.24673146;150857.121333258;125793.903430875;0.444787688906751;0.367325709944111;0.303181047862897;14060;14060;14060
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2019;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";227718.252056302;162211.902243172;123409.126176583;10971.2125678705;8661.50152188492;6967.33768738747;0.780313838397621;0.616038515070051;0.495543221009066;0;0;0;NA;NA;NA;0.0770905278188797;0.0555755974950909;0.0416651949858379;10971.2125678705;8661.50152188492;6967.33768738747;0.780313838397621;0.616038515070051;0.495543221009066;9779430.16646255;4922357.62296414;2419753.2190705;227718.252056302;162211.902243172;123409.126176583;0.299437909838504;0.218040354360135;0.164514134543362;10971.2125678706;8661.50152188492;6967.33768738747
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2020;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";263878.497588589;178884.098463495;125851.18984287;14536.9949762479;9421.62738743983;6486.40971535355;1.58042111179513;1.08288634612101;0.819764509139801;0;0;0;NA;NA;NA;0.0773794774102366;0.0550194893747918;0.0398376912685646;14536.9949762479;9421.62738743983;6486.40971535355;1.58042111179513;1.08288634612101;0.819764509139801;10337619.2941416;5195103.53149465;2598230.46420599;263878.497588589;178884.098463495;125851.18984287;0.300520367784308;0.215917597458733;0.157431582090866;14536.9949762479;9421.62738743983;6486.40971535355
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2021;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";293201.208727269;203034.899542532;133321.635656244;15660.7970861957;10709.6252772154;6372.39457947095;1.54303012649862;1.09291574968295;0.747866415955794;0;0;0;NA;NA;NA;0.065837663323336;0.0557736403906876;0.0434676574390841;15660.7970861957;10709.6252772154;6372.39457947095;1.54303012649862;1.09291574968295;0.747866415955794;11269738.1392911;5489309.29696657;2752551.81648873;293201.208727269;203034.899542532;133321.635656244;0.257059823533475;0.218795998068225;0.171488071867346;15660.7970861957;10709.6252772154;6372.39457947095
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2022;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";314740.352726245;222977.140543453;139943.347259954;17628.2537821811;12312.4863225237;6484.67531655808;1.50506202551531;1.10149417809503;0.868817300202726;0;0;0;NA;NA;NA;0.0681574232726996;0.0581848884767076;0.0436619143886194;17628.2537821811;12312.4863225237;6484.67531655808;1.50506202551531;1.10149417809503;0.868817300202726;11044890.5351012;5611427.50259343;2945335.60461212;314740.352726245;222977.140543453;139943.347259954;0.26583199638124;0.227986161181944;0.172218568373405;17628.2537821811;12312.4863225237;6484.67531655808
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2023;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";335200.890802277;238537.756973677;152457.722254303;18815.6784832141;13163.1124401441;6666.8837428596;1.46465988129406;1.05168154364163;0.852541830829392;0;0;0;NA;NA;NA;0.0675042529554908;0.0583734737307878;0.0429286174619159;18815.6784832141;13163.1124401441;6666.8837428596;1.46465988129406;1.05168154364163;0.852541830829392;10861995.5474376;5730478.01861929;2874809.9897208;335200.890802277;238537.756973677;152457.722254303;0.263363943202577;0.228705112491321;0.16940365602249;18815.6784832141;13163.1124401441;6666.8837428596
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2024;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";335744.129981319;251207.021916808;164104.04901593;20183.7403162601;14448.7006370611;7691.9966985158;1.52279274331376;1.08994105211887;0.903903934483357;0;0;0;NA;NA;NA;0.0706116041540557;0.0616319457333886;0.0465080307838911;20183.7403162601;14448.7006370611;7691.9966985158;1.52279274331376;1.08994105211887;0.903903934483357;10694435.4590985;5919278.1587221;3134207.15400905;335744.129981319;251207.021916808;164104.04901593;0.27509197709332;0.241107557516468;0.183248461160531;20183.7403162601;14448.7006370611;7691.9966985158
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2025;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";344445.295232242;259822.183115812;172287.531426242;20376.2749450732;15092.6760358381;8535.81636207804;1.36280309833742;1.02792746580809;0.859087265635729;0;0;0;NA;NA;NA;0.0709345161239035;0.0621274638243936;0.0490486219824208;20376.2749450732;15092.6760358381;8535.81636207804;1.36280309833742;1.02792746580809;0.859087265635729;11137037.9930565;5863769.92175638;3146996.56013532;344445.295232242;259822.183115812;172287.531426242;0.276308808791301;0.242990305298754;0.193041997274761;20376.2749450732;15092.6760358381;8535.81636207804
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2026;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";348173.776706179;263543.856280119;184162.357945997;20637.8296629948;15566.3713844881;9475.20945506593;1.32364543087713;1.02003194185386;0.86373712130643;0;0;0;NA;NA;NA;0.0713036196552072;0.0627922407906226;0.0496230310498523;20637.8296629948;15566.3713844881;9475.20945506593;1.32364543087713;1.02003194185386;0.86373712130643;10855885.3388043;5819842.94696409;3178334.57929373;348173.776706179;263543.856280119;184162.357945997;0.277699260969153;0.245514795716665;0.195237384102969;20637.8296629948;15566.3713844881;9475.20945506593
"ASSnone_HCR4_REClow_INNvar_OERnone_Ftgt0.064";2027;"ASSnone";"HCR4";"REClow";"INNvar";"OERnone";"Ftgt0.064";349742.84739832;268111.358765285;193399.255902067;21090.2096659722;15766.476192541;10442.1015355099;1.32131970442496;1.01458415534463;0.855917170972674;0;0;0;NA;NA;NA;0.071151016763218;0.0634039297564975;0.0514725634027504;21090.2096659722;15766.476192541;10442.1015355099;1.32131970442496;1.01458415534463;0.855917170972674;11763613.462957;5986228.800419;3013840.27321408;349742.84739832;268111.358765285;193399.255902067;0.277124446706468;0.247836303156682;0.202289459891918;21090.2096659722;15766.476192541;10442.1015355099
