"Rec";"RECmed";"RECmed";"REClow";"REClow";"REClowmed";"REClowmed";"RECmix";"RECmix"
"Rule";"HCR3";"HCR4";"HCR3";"HCR4";"HCR3";"HCR4";"HCR3";"HCR4"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"244";"248";"207";"207";"207";"207";"208";"209"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"379";"386";"248";"248";"248";"248";"252";"252"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"615";"619";"295";"296";"547";"544";"545";"548"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"6";"6";"7";"7";"7";"7";"6";"6"
"round(Median_Catch[period == \"short\"]/1000, 0)";"9";"9";"8";"8";"8";"8";"7";"7"
"round(Median_Catch[period == \"last\"]/1000, 0)";"17";"17";"12";"12";"18";"18";"16";"16"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"2";"1";"1";"1";"1";"1";"1";"1"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"2";"2";"1";"1";"1";"1";"1";"1"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"2";"2";"1";"1";"2";"2";"2";"2"
"round(closure[period == \"initial\"] * 100, 0)";"2";"0";"2";"0";"2";"0";"3";"0"
"round(closure[period == \"short\"] * 100, 0)";"1";"0";"1";"0";"1";"0";"2";"0"
"round(closure[period == \"last\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(P_B1plus_0.8Blim[period == \"initial\"] * 100, 0)";"76";"77";"35";"36";"35";"35";"38";"40"
"round(P_B1plus_0.8Blow[period == \"initial\"] * 100, 0)";"98";"98";"95";"95";"95";"95";"96";"96"
"round(firstyear_B1plus_0.8Blim[period == \"all\"], 0)";"2025";"2025";NA;NA;"2041";"2041";"2042";"2042"
"round(firstyear_B1plus_0.8Blow[period == \"all\"], 0)";"2021";"2021";"2022";"2022";"2022";"2022";"2022";"2022"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";"2028";"2029";NA;NA;NA;NA;NA;NA
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2024";"2024";"2026";"2027";"2026";"2026";"2026";"2026"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";" 0";" 0";"81";"81";"27";"29";"31";"29"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"1";"1";"0";"0";"0";"0"
