"Rec";"RECmed";"RECmed";"REClow";"REClow";"REClowmed";"REClowmed";"RECmix";"RECmix"
"Rule";"HCR3";"HCR4";"HCR3";"HCR4";"HCR3";"HCR4";"HCR3";"HCR4"
"round(Median_B1plus[period == \"initial\"]/1000, 0)";"235";"235";"204";"204";"204";"204";"204";"204"
"round(Median_B1plus[period == \"short\"]/1000, 0)";"367";"367";"249";"249";"249";"249";"249";"249"
"round(Median_B1plus[period == \"last\"]/1000, 0)";"613";"613";"302";"302";"562";"562";"552";"553"
"round(Median_F[period == \"initial\"]/1000, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(Median_F[period == \"short\"]/1000, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(Median_F[period == \"last\"]/1000, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(Median_Catch[period == \"initial\"]/1000, 0)";"6";"6";"6";"5";"6";"5";"6";"5"
"round(Median_Catch[period == \"short\"]/1000, 0)";"9";"9";"7";"7";"7";"7";"7";"7"
"round(Median_Catch[period == \"last\"]/1000, 0)";"18";"18";" 9";" 9";"17";"17";"16";"16"
"round(IAV1_Catch[period == \"initial\"]/1000, 0)";"2";"2";"1";"1";"1";"1";"1";"1"
"round(IAV1_Catch[period == \"short\"]/1000, 0)";"2";"2";"1";"1";"1";"1";"1";"1"
"round(IAV1_Catch[period == \"last\"]/1000, 0)";"2";"2";"1";"1";"2";"2";"2";"2"
"round(closure[period == \"initial\"] * 100, 0)";"3";"1";"3";"0";"3";"0";"3";"0"
"round(closure[period == \"short\"] * 100, 0)";"2";"0";"2";"0";"2";"0";"2";"0"
"round(closure[period == \"last\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
"round(P_B1plus_0.8Blim[period == \"initial\"] * 100, 0)";"73";"73";"36";"36";"36";"36";"36";"36"
"round(P_B1plus_0.8Blow[period == \"initial\"] * 100, 0)";"98";"98";"96";"96";"96";"96";"96";"96"
"round(firstyear_B1plus_0.8Blim[period == \"all\"], 0)";"2026";"2026";NA;NA;"2038";"2038";"2039";"2039"
"round(firstyear_B1plus_0.8Blow[period == \"all\"], 0)";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022"
"round(firstyear_B1plus_Blim[period == \"all\"], 0)";"2029";"2029";NA;NA;NA;NA;NA;NA
"round(firstyear_B1plus_Blow[period == \"all\"], 0)";"2024";"2025";"2026";"2026";"2026";"2026";"2026";"2026"
"round(max_P_B1plus_Blim[period == \"last\"] * 100, 0)";" 0";" 0";"78";"78";"24";"24";"28";"28"
"round(max_P_B1plus_Blow[period == \"last\"] * 100, 0)";"0";"0";"0";"0";"0";"0";"0";"0"
